threshold,tar,far
0.60692048,0.95366667,0.86133333
0.60740089,0.95366667,0.86100000
0.60743666,0.95366667,0.86066667
0.60776484,0.95366667,0.86033333
0.60784793,0.95333333,0.86033333
0.60846668,0.95300000,0.86033333
0.60924113,0.95300000,0.86000000
0.61002064,0.95300000,0.85966667
0.61045647,0.95300000,0.85933333
0.61087894,0.95300000,0.85900000
0.61147702,0.95266667,0.85900000
0.61164522,0.95266667,0.85866667
0.61239183,0.95266667,0.85833333
0.61286879,0.95266667,0.85800000
0.61289275,0.95266667,0.85766667
0.61380231,0.95266667,0.85733333
0.61383820,0.95266667,0.85700000
0.61415398,0.95266667,0.85666667
0.61466062,0.95266667,0.85633333
0.61468518,0.95266667,0.85600000
0.61480808,0.95266667,0.85566667
0.61490542,0.95266667,0.85533333
0.61522824,0.95233333,0.85533333
0.61529887,0.95233333,0.85500000
0.61578441,0.95233333,0.85466667
0.61643058,0.95233333,0.85433333
0.61673164,0.95200000,0.85433333
0.61678565,0.95200000,0.85400000
0.61682737,0.95200000,0.85366667
0.61726975,0.95200000,0.85333333
0.61739254,0.95166667,0.85333333
0.61742318,0.95166667,0.85300000
0.61773217,0.95166667,0.85266667
0.61811709,0.95166667,0.85233333
0.61841828,0.95166667,0.85200000
0.61888909,0.95166667,0.85166667
0.61916155,0.95166667,0.85133333
0.61958641,0.95166667,0.85100000
0.61959517,0.95166667,0.85066667
0.61963052,0.95166667,0.85033333
0.61979932,0.95166667,0.85000000
0.62003034,0.95166667,0.84966667
0.62013179,0.95133333,0.84966667
0.62034875,0.95133333,0.84933333
0.62039518,0.95100000,0.84933333
0.62040508,0.95100000,0.84900000
0.62085134,0.95100000,0.84866667
0.62090272,0.95100000,0.84833333
0.62091917,0.95100000,0.84800000
0.62105298,0.95100000,0.84766667
0.62125516,0.95100000,0.84733333
0.62131876,0.95100000,0.84700000
0.62139368,0.95100000,0.84666667
0.62144530,0.95100000,0.84633333
0.62145132,0.95100000,0.84600000
0.62196994,0.95100000,0.84566667
0.62230766,0.95066667,0.84566667
0.62242281,0.95066667,0.84533333
0.62258977,0.95033333,0.84533333
0.62269390,0.95033333,0.84500000
0.62277544,0.95033333,0.84466667
0.62296146,0.95000000,0.84466667
0.62346435,0.94966667,0.84466667
0.62378877,0.94966667,0.84433333
0.62432730,0.94933333,0.84433333
0.62463701,0.94900000,0.84433333
0.62482798,0.94866667,0.84433333
0.62514615,0.94866667,0.84400000
0.62542862,0.94866667,0.84366667
0.62562639,0.94866667,0.84333333
0.62595642,0.94833333,0.84333333
0.62638021,0.94833333,0.84300000
0.62652135,0.94800000,0.84300000
0.62654877,0.94800000,0.84266667
0.62677932,0.94800000,0.84233333
0.62732559,0.94800000,0.84200000
0.62750661,0.94800000,0.84166667
0.62856299,0.94800000,0.84133333
0.62879759,0.94766667,0.84133333
0.62891042,0.94733333,0.84133333
0.62895989,0.94700000,0.84133333
0.62982011,0.94700000,0.84100000
0.62988394,0.94700000,0.84066667
0.63013983,0.94700000,0.84033333
0.63018477,0.94700000,0.84000000
0.63022357,0.94700000,0.83966667
0.63023692,0.94700000,0.83933333
0.63039315,0.94700000,0.83900000
0.63069522,0.94666667,0.83900000
0.63079870,0.94666667,0.83866667
0.63085783,0.94666667,0.83833333
0.63095450,0.94666667,0.83800000
0.63130641,0.94633333,0.83800000
0.63169229,0.94600000,0.83800000
0.63190442,0.94600000,0.83766667
0.63192010,0.94600000,0.83733333
0.63221353,0.94600000,0.83700000
0.63224316,0.94600000,0.83666667
0.63235807,0.94600000,0.83633333
0.63267398,0.94600000,0.83600000
0.63271713,0.94600000,0.83566667
0.63275909,0.94600000,0.83533333
0.63284266,0.94600000,0.83500000
0.63297498,0.94566667,0.83500000
0.63303494,0.94566667,0.83466667
0.63318682,0.94566667,0.83433333
0.63339162,0.94566667,0.83400000
0.63366562,0.94566667,0.83366667
0.63370836,0.94566667,0.83333333
0.63382232,0.94566667,0.83300000
0.63391775,0.94566667,0.83266667
0.63392377,0.94566667,0.83233333
0.63393605,0.94566667,0.83200000
0.63399053,0.94566667,0.83166667
0.63401067,0.94566667,0.83133333
0.63406074,0.94566667,0.83100000
0.63432574,0.94566667,0.83066667
0.63467437,0.94566667,0.83033333
0.63469523,0.94566667,0.83000000
0.63474143,0.94533333,0.83000000
0.63502061,0.94500000,0.83000000
0.63517845,0.94500000,0.82966667
0.63523346,0.94500000,0.82933333
0.63535535,0.94500000,0.82900000
0.63585711,0.94500000,0.82866667
0.63601387,0.94500000,0.82833333
0.63608754,0.94500000,0.82800000
0.63632500,0.94500000,0.82766667
0.63685048,0.94500000,0.82733333
0.63699204,0.94500000,0.82700000
0.63715339,0.94466667,0.82700000
0.63748389,0.94433333,0.82700000
0.63755196,0.94400000,0.82700000
0.63818002,0.94366667,0.82700000
0.63876045,0.94366667,0.82666667
0.63882279,0.94366667,0.82633333
0.63920760,0.94366667,0.82600000
0.63949406,0.94366667,0.82566667
0.63978511,0.94366667,0.82533333
0.64001834,0.94366667,0.82500000
0.64033806,0.94366667,0.82466667
0.64128649,0.94333333,0.82466667
0.64147353,0.94333333,0.82433333
0.64149725,0.94300000,0.82433333
0.64164156,0.94300000,0.82400000
0.64174926,0.94300000,0.82366667
0.64175427,0.94300000,0.82333333
0.64215922,0.94300000,0.82300000
0.64227790,0.94300000,0.82266667
0.64253718,0.94266667,0.82266667
0.64270931,0.94266667,0.82233333
0.64273149,0.94266667,0.82200000
0.64290047,0.94266667,0.82166667
0.64291179,0.94266667,0.82133333
0.64293551,0.94266667,0.82100000
0.64321083,0.94233333,0.82100000
0.64341450,0.94233333,0.82066667
0.64359844,0.94233333,0.82033333
0.64369392,0.94200000,0.82033333
0.64460671,0.94200000,0.82000000
